Game Title,Video Title,Channel,Published At,Views,Likes,Comments,Video ID,Video URL,App ID,SteamCharts URL,Current Players,24h Peak Players,All-Time Peak Players
Stardew Valley,I can’t fish #stardewvalley #cozygames,Meeses Gaming,2025-04-09T21:15:31Z,1894387,69141,1223,IWqJ8zvXJdQ,https://www.youtube.com/watch?v=IWqJ8zvXJdQ,413150,https://steamcharts.com/app/413150,"106562
playing","106751
24-hour peak","236614
all-time peak"
Stardew Valley,You Should Pass Out In Stardew Valley,The Prophecy,2025-03-31T15:00:26Z,618718,17803,112,OFcdffyvJQI,https://www.youtube.com/watch?v=OFcdffyvJQI,413150,https://steamcharts.com/app/413150,"106562
playing","106751
24-hour peak","236614
all-time peak"
Stardew Valley,I Left My Farm For 1000 Years in Stardew Valley... Here&#39;s What I Found,Swell,2025-04-15T00:40:55Z,299992,12410,546,4KJnAZMP1eQ,https://www.youtube.com/watch?v=4KJnAZMP1eQ,413150,https://steamcharts.com/app/413150,"106562
playing","106751
24-hour peak","236614
all-time peak"
Stardew Valley,STARDEW VALLEY ANIMATION,Emmanomia,2025-03-28T23:28:01Z,266653,30841,640,s7k8sprdbuQ,https://www.youtube.com/watch?v=s7k8sprdbuQ,413150,https://steamcharts.com/app/413150,"106562
playing","106751
24-hour peak","236614
all-time peak"
Stardew Valley,você queria mesmo viver em Stardew Valley? #short #shorts #stardewvalley,Zé Renacho,2025-03-26T15:37:39Z,411181,45354,444,QSTlKfm3sNU,https://www.youtube.com/watch?v=QSTlKfm3sNU,413150,https://steamcharts.com/app/413150,"106562
playing","106751
24-hour peak","236614
all-time peak"
Stardew Valley,How the weird Stardew Valley farmer looks to the locals 👩🏼‍🌾,JourdanGames,2025-04-09T20:39:39Z,392664,27168,170,5EkQoPVcHzk,https://www.youtube.com/watch?v=5EkQoPVcHzk,413150,https://steamcharts.com/app/413150,"106562
playing","106751
24-hour peak","236614
all-time peak"
Stardew Valley,The Stardew Valley Farmer is a creature to be feared… 😂,JourdanGames,2025-03-23T20:56:18Z,260017,25780,123,9VUaEt4RruA,https://www.youtube.com/watch?v=9VUaEt4RruA,413150,https://steamcharts.com/app/413150,"106562
playing","106751
24-hour peak","236614
all-time peak"
Stardew Valley,Trains Suck In Stardew Valley...,The Prophecy,2025-04-07T15:00:47Z,424098,11838,108,WgSrXwRAuUg,https://www.youtube.com/watch?v=WgSrXwRAuUg,413150,https://steamcharts.com/app/413150,"106562
playing","106751
24-hour peak","236614
all-time peak"
Stardew Valley,You Shouldn&#39;t Avoid Passing Out in Stardew Valley #stardew,Junimo B,2025-04-08T21:00:43Z,272205,22523,128,nRCrXAWI3ck,https://www.youtube.com/watch?v=nRCrXAWI3ck,413150,https://steamcharts.com/app/413150,"106562
playing","106751
24-hour peak","236614
all-time peak"
Stardew Valley,Hidden Stardew Valley Features,mGaud,2025-04-04T16:00:45Z,331772,9496,70,VWI9YVhGxD4,https://www.youtube.com/watch?v=VWI9YVhGxD4,413150,https://steamcharts.com/app/413150,"106562
playing","106751
24-hour peak","236614
all-time peak"
